Town Name	Continent	Country	Region (State/Province)	Retirement Category
Sarandë	Europe	Albania	Vlorë	Mediterranean
Pago Pago	Oceania	American Samoa	Tutuila	Oceania
Saint John's	North America	Antigua and Barbuda	Saint John	Caribbean
Bariloche	South America	Argentina	Río Negro	South America
Buenos Aires	South America	Argentina	Buenos Aires	South America
Mendoza	South America	Argentina	Mendoza	South America
Oranjestad	North America	Aruba	Aruba	Caribbean
Sydney	Oceania	Australia	New South Wales	Australia & New Zealand
Adelaide	Oceania	Australia	South Australia	Australia & New Zealand
Canberra	Oceania	Australia	Australian Capital Territory	Australia & New Zealand
Sunshine Coast	Oceania	Australia	Queensland	Australia & New Zealand
Coffs Harbour	Oceania	Australia	New South Wales	Australia & New Zealand
Gold Coast	Oceania	Australia	Queensland	Australia & New Zealand
Hervey Bay	Oceania	Australia	Queensland	Australia & New Zealand
Hobart	Oceania	Australia	Tasmania	Australia & New Zealand
Melbourne	Oceania	Australia	Victoria	Australia & New Zealand
Newcastle (Aus)	Oceania	Australia	New South Wales	Australia & New Zealand
Perth	Oceania	Australia	Western Australia	Australia & New Zealand
Port Macquarie	Oceania	Australia	New South Wales	Australia & New Zealand
Victor Harbor	Oceania	Australia	South Australia	Australia & New Zealand
Vienna	Europe	Austria	Capital Region	Europe
Nassau	North America	Bahamas	New Providence	Caribbean
George Town (Exuma)	North America	Bahamas	Great Exuma	Caribbean
Bridgetown	North America	Barbados	Saint Michael	Caribbean
Tervuren	Europe	Belgium	Flemish Brabant	Europe
Bruges	Europe	Belgium	(Central)	Europe
Dinant	Europe	Belgium	Namur (Wallonia)	Europe
Ghent	Europe	Belgium	East Flanders	Europe
Leuven	Europe	Belgium	Flemish Brabant	Europe
Placencia	North America	Belize	Stann Creek	Central America
San Pedro (Ambergris Caye)	North America	Belize	San Pedro (Ambergris Caye)	Central America
Corozal	North America	Belize	Corozal	Central America
San Ignacio	North America	Belize	Cayo	Central America
Gaborone	Africa	Botswana	South-East	Africa
Florianópolis	South America	Brazil	Santa Catarina	South America
Road Town	North America	British Virgin Islands	Tortola	Caribbean
Siem Reap	Asia	Cambodia	Siem Reap	Asia
Phnom Penh	Asia	Cambodia	Phnom Penh	Asia
Kampot	Asia	Cambodia	Kampot	Asia
Calgary	North America	Canada	Alberta	North America
Halifax	North America	Canada	Nova Scotia	North America
Charlottetown	North America	Canada	Prince Edward Island	North America
Kelowna	North America	Canada	British Columbia	North America
Kingston	North America	Canada	Ontario	North America
London (ON)	North America	Canada	Ontario	North America
Moncton	North America	Canada	New Brunswick	North America
Niagara-on-the-Lake	North America	Canada	Ontario	North America
Ottawa	North America	Canada	Ontario	North America
Victoria	North America	Canada	British Columbia	North America
Santiago	South America	Chile	Santiago	South America
Valparaíso	South America	Chile	Valparaíso	South America
La Serena	South America	Chile	Coquimbo	South America
Viña del Mar	South America	Chile	Valparaíso	South America
Cartagena	South America	Colombia	Bolívar	South America
Santa Marta	South America	Colombia	Magdalena	South America
Villa de Leyva	South America	Colombia	Boyacá	South America
Rarotonga (Avarua)	Oceania	Cook Islands	Rarotonga	Oceania
Atenas	North America	Costa Rica	Alajuela	Central America
Escazú	North America	Costa Rica	San José	Central America
Grecia	North America	Costa Rica	Alajuela	Central America
Dubrovnik	Europe	Croatia	Dubrovnik-Neretva	Mediterranean
Rovinj	Europe	Croatia	Istria	Mediterranean
Sibenik	Europe	Croatia	Dalmatia	Mediterranean
Pula	Europe	Croatia	Istria	Mediterranean
Trogir	Europe	Croatia	Dalmatia	Mediterranean
Zadar	Europe	Croatia	Zadar	Mediterranean
Willemstad	North America	Curacao	Curacao	Caribbean
Paphos	Europe	Cyprus	Paphos	Mediterranean
Limassol	Europe	Cyprus	Limassol	Mediterranean
Cesky Krumlov	Europe	Czech Republic	South Bohemian	Europe
Prague	Europe	Czech Republic	Capital City	Europe
Roseau	North America	Dominica	Saint George	Caribbean
Santo Domingo	North America	Dominican Republic	Distrito Nacional	Caribbean
Las Terrenas	North America	Dominican Republic	Samaná	Caribbean
Punta Cana	North America	Dominican Republic	La Altagracia	Caribbean
Sosúa	North America	Dominican Republic	Puerto Plata	Caribbean
Cotacachi	South America	Ecuador	Imbabura	South America
Cuenca	South America	Ecuador	Azuay	South America
Loja	South America	Ecuador	Loja	South America
Manta	South America	Ecuador	Manabí	South America
Quito	South America	Ecuador	Pichincha	South America
Salinas	South America	Ecuador	Santa Elena	South America
Vilcabamba	South America	Ecuador	Loja	South America
Hurghada	Africa	Egypt	Red Sea	Africa
Tallinn	Europe	Estonia	Harju	Europe
Pohnpei	Oceania	Federal States of Micronesia	Pohnpei	Oceania
Annecy	Europe	France	Haute-Savoie	Europe
Antibes	Europe	France	Alpes-Maritimes	Mediterranean
Bordeaux	Europe	France	Nouvelle-Aquitaine	Europe
Cannes	Europe	France	Alpes-Maritimes	Mediterranean
Lyon	Europe	France	Rhône	Europe
Montpellier	Europe	France	Hérault	Mediterranean
Nice	Europe	France	Alpes-Maritimes	Mediterranean
Paris	Europe	France	Île-de-France	Europe
Toulouse	Europe	France	Haute-Garonne	Europe
Bora Bora	Oceania	French Polynesia	Leeward Islands	Oceania
Moorea	Oceania	French Polynesia	Windward Islands	Oceania
Tahiti (Papeete)	Oceania	French Polynesia	Windward Islands	Oceania
Batumi	Asia	Georgia	Adjara	Asia
Tbilisi	Asia	Georgia	Tbilisi	Asia
Berlin	Europe	Germany	Berlin	Europe
Freiburg	Europe	Germany	Baden-Württemberg	Europe
Heidelberg	Europe	Germany	Baden-Württemberg	Europe
Munich	Europe	Germany	Bavaria	Europe
Athens	Europe	Greece	Attica	Mediterranean
Crete (Heraklion)	Europe	Greece	Crete	Mediterranean
Rhodes	Europe	Greece	South Aegean	Mediterranean
Santorini	Europe	Greece	South Aegean	Mediterranean
Thessaloniki	Europe	Greece	Central Macedonia	Mediterranean
Saint George's	North America	Grenada	Saint George	Caribbean
Tumon	Oceania	Guam	Tumon	Oceania
Antigua Guatemala	North America	Guatemala	Sacatepéquez	Central America
Lake Atitlán (Panajachel)	North America	Guatemala	Sololá	Central America
Georgetown	South America	Guyana	Demerara-Mahaica	South America
Roatán	North America	Honduras	Bay Islands	Central America
Budapest	Europe	Hungary	Budapest	Europe
Reykjavik	Europe	Iceland	Capital Region	Europe
Goa (Panaji)	Asia	India	Goa	Asia
Pondicherry	Asia	India	Puducherry	Asia
Bali (Ubud)	Asia	Indonesia	Bali	Asia
Bali (Canggu)	Asia	Indonesia	Bali	Asia
Lombok	Asia	Indonesia	West Nusa Tenggara	Asia
Cork	Europe	Ireland	County Cork	Europe
Dublin	Europe	Ireland	County Dublin	Europe
Galway	Europe	Ireland	County Galway	Europe
Tel Aviv	Asia	Israel	Tel Aviv	Mediterranean
Amalfi Coast	Europe	Italy	Campania	Mediterranean
Bologna	Europe	Italy	Emilia-Romagna	Mediterranean
Florence	Europe	Italy	Tuscany	Mediterranean
Lake Como	Europe	Italy	Lombardy	Mediterranean
Milan	Europe	Italy	Lombardy	Mediterranean
Naples	Europe	Italy	Campania	Mediterranean
Palermo	Europe	Italy	Sicily	Mediterranean
Puglia (Lecce)	Europe	Italy	Puglia	Mediterranean
Rome	Europe	Italy	Lazio	Mediterranean
Sicily (Taormina)	Europe	Italy	Sicily	Mediterranean
Turin	Europe	Italy	Piedmont	Mediterranean
Venice	Europe	Italy	Veneto	Mediterranean
Verona	Europe	Italy	Veneto	Mediterranean
Kingston	North America	Jamaica	Kingston	Caribbean
Montego Bay	North America	Jamaica	Saint James	Caribbean
Negril	North America	Jamaica	Westmoreland	Caribbean
Ocho Rios	North America	Jamaica	Saint Ann	Caribbean
Kyoto	Asia	Japan	Kyoto	Asia
Naha (Okinawa)	Asia	Japan	Okinawa	Asia
Osaka	Asia	Japan	Osaka	Asia
Tokyo	Asia	Japan	Tokyo	Asia
Amman	Asia	Jordan	Amman	Asia
Nairobi	Africa	Kenya	Nairobi	Africa
Luang Prabang	Asia	Laos	Luang Prabang	Asia
Vientiane	Asia	Laos	Vientiane	Asia
Riga	Europe	Latvia	Riga	Europe
Beirut	Asia	Lebanon	Beirut	Mediterranean
Vilnius	Europe	Lithuania	Vilnius	Europe
Luxembourg City	Europe	Luxembourg	Luxembourg	Europe
George Town (Penang)	Asia	Malaysia	Penang	Asia
Ipoh	Asia	Malaysia	Perak	Asia
Kota Kinabalu	Asia	Malaysia	Sabah	Asia
Kuala Lumpur	Asia	Malaysia	Federal Territory	Asia
Kuching	Asia	Malaysia	Sarawak	Asia
Langkawi	Asia	Malaysia	Kedah	Asia
Valletta	Europe	Malta	South Eastern	Mediterranean
Sliema	Europe	Malta	Northern Harbour	Mediterranean
Grand Baie	Africa	Mauritius	Rivière du Rempart	Africa
Port Louis	Africa	Mauritius	Port Louis	Africa
Ajijic	North America	Mexico	Jalisco	North America
Cancun	North America	Mexico	Quintana Roo	North America
Cozumel	North America	Mexico	Quintana Roo	North America
Guadalajara	North America	Mexico	Jalisco	North America
Guanajuato	North America	Mexico	Guanajuato	North America
La Paz	North America	Mexico	Baja California Sur	North America
Mazatlán	North America	Mexico	Sinaloa	North America
Mérida	North America	Mexico	Yucatán	North America
Mexico City	North America	Mexico	Federal District	North America
Oaxaca	North America	Mexico	Oaxaca	North America
Playa del Carmen	North America	Mexico	Quintana Roo	North America
Puerto Escondido	North America	Mexico	Oaxaca	North America
Puerto Vallarta	North America	Mexico	Jalisco	North America
San Cristóbal de las Casas	North America	Mexico	Chiapas	North America
San Miguel de Allende	North America	Mexico	Guanajuato	North America
Tulum	North America	Mexico	Quintana Roo	North America
Monte Carlo	Europe	Monaco	Monte Carlo	Mediterranean
Budva	Europe	Montenegro	Budva	Mediterranean
Kotor	Europe	Montenegro	Kotor	Mediterranean
Casablanca	Africa	Morocco	Casablanca-Settat	Africa
Essaouira	Africa	Morocco	Marrakesh-Safi	Africa
Marrakech	Africa	Morocco	Marrakesh-Safi	Africa
Tangier	Africa	Morocco	Tanger-Tetouan-Al Hoceima	Africa
Yangon	Asia	Myanmar	Yangon	Asia
Amsterdam	Europe	Netherlands	North Holland	Europe
Rotterdam	Europe	Netherlands	South Holland	Europe
Utrecht	Europe	Netherlands	Utrecht	Europe
Auckland	Oceania	New Zealand	Auckland	Australia & New Zealand
Christchurch	Oceania	New Zealand	Canterbury	Australia & New Zealand
Nelson	Oceania	New Zealand	Nelson	Australia & New Zealand
Queenstown	Oceania	New Zealand	Otago	Australia & New Zealand
Wellington	Oceania	New Zealand	Wellington	Australia & New Zealand
Granada	North America	Nicaragua	Granada	Central America
San Juan del Sur	North America	Nicaragua	Rivas	Central America
Bergen	Europe	Norway	Vestland	Europe
Oslo	Europe	Norway	Oslo	Europe
Islamabad	Asia	Pakistan	Capital Territory	Asia
Boquete	North America	Panama	Chiriquí	Central America
Bocas del Toro	North America	Panama	Bocas del Toro	Central America
Coronado	North America	Panama	Panamá Oeste	Central America
David	North America	Panama	Chiriquí	Central America
El Valle de Antón	North America	Panama	Coclé	Central America
Las Tablas	North America	Panama	Los Santos	Central America
Panama City	North America	Panama	Panamá	Central America
Pedasí	North America	Panama	Los Santos	Central America
Asunción	South America	Paraguay	Capital District	South America
Arequipa	South America	Peru	Arequipa	South America
Cusco	South America	Peru	Cusco	South America
Lima	South America	Peru	Lima	South America
Trujillo	South America	Peru	La Libertad	South America
Baguio	Asia	Philippines	Benguet	Asia
Cebu City	Asia	Philippines	Cebu	Asia
Davao	Asia	Philippines	Davao del Sur	Asia
Dumaguete	Asia	Philippines	Negros Oriental	Asia
Iloilo City	Asia	Philippines	Iloilo	Asia
Manila	Asia	Philippines	Metro Manila	Asia
Siargao	Asia	Philippines	Surigao del Norte	Asia
Tagaytay	Asia	Philippines	Cavite	Asia
Krakow	Europe	Poland	Lesser Poland	Europe
Warsaw	Europe	Poland	Masovian	Europe
Wroclaw	Europe	Poland	Lower Silesian	Europe
Albufeira	Europe	Portugal	Algarve	Mediterranean
Aveiro	Europe	Portugal	Aveiro	Mediterranean
Braga	Europe	Portugal	Braga	Mediterranean
Cascais	Europe	Portugal	Lisbon	Mediterranean
Coimbra	Europe	Portugal	Coimbra	Mediterranean
Funchal (Madeira)	Europe	Portugal	Madeira	Mediterranean
Lagos	Europe	Portugal	Algarve	Mediterranean
Lisbon	Europe	Portugal	Lisbon	Mediterranean
Porto	Europe	Portugal	Porto	Mediterranean
Sintra	Europe	Portugal	Lisbon	Mediterranean
Tavira	Europe	Portugal	Algarve	Mediterranean
Aguadilla	North America	Puerto Rico	Aguadilla	Caribbean
Dorado	North America	Puerto Rico	Dorado	Caribbean
Ponce	North America	Puerto Rico	Ponce	Caribbean
Rincón	North America	Puerto Rico	Rincón	Caribbean
San Juan	North America	Puerto Rico	San Juan	Caribbean
Brasov	Europe	Romania	Brașov	Europe
Bucharest	Europe	Romania	Bucharest	Europe
Cluj-Napoca	Europe	Romania	Cluj	Europe
Sibiu	Europe	Romania	Sibiu	Europe
Basseterre	North America	Saint Kitts and Nevis	Saint George Basseterre	Caribbean
Castries	North America	Saint Lucia	Castries	Caribbean
Rodney Bay	North America	Saint Lucia	Gros Islet	Caribbean
Victoria (Mahé)	Africa	Seychelles	Mahé	Africa
Singapore	Asia	Singapore	Central	Asia
Bratislava	Europe	Slovakia	Bratislava	Europe
Ljubljana	Europe	Slovenia	Ljubljana	Europe
Piran	Europe	Slovenia	Piran	Mediterranean
Cape Town	Africa	South Africa	Western Cape	Africa
Durban	Africa	South Africa	KwaZulu-Natal	Africa
Johannesburg	Africa	South Africa	Gauteng	Africa
Busan	Asia	South Korea	Busan	Asia
Seoul	Asia	South Korea	Seoul	Asia
Alicante	Europe	Spain	Valencia	Mediterranean
Barcelona	Europe	Spain	Catalonia	Mediterranean
Bilbao	Europe	Spain	Basque Country	Mediterranean
Granada	Europe	Spain	Andalusia	Mediterranean
Gran Canaria	Europe	Spain	Canary Islands	Mediterranean
Madrid	Europe	Spain	Madrid	Mediterranean
Málaga	Europe	Spain	Andalusia	Mediterranean
Mallorca (Palma)	Europe	Spain	Balearic Islands	Mediterranean
San Sebastián	Europe	Spain	Basque Country	Mediterranean
Seville	Europe	Spain	Andalusia	Mediterranean
Tenerife	Europe	Spain	Canary Islands	Mediterranean
Valencia	Europe	Spain	Valencia	Mediterranean
Colombo	Asia	Sri Lanka	Western	Asia
Galle	Asia	Sri Lanka	Southern	Asia
Gothenburg	Europe	Sweden	Västra Götaland	Europe
Stockholm	Europe	Sweden	Stockholm	Europe
Basel	Europe	Switzerland	Basel-Stadt	Europe
Geneva	Europe	Switzerland	Geneva	Europe
Lucerne	Europe	Switzerland	Lucerne	Europe
Lugano	Europe	Switzerland	Ticino	Europe
Zurich	Europe	Switzerland	Zurich	Europe
Kaohsiung	Asia	Taiwan	Kaohsiung	Asia
Taichung	Asia	Taiwan	Taichung	Asia
Taipei	Asia	Taiwan	Taipei	Asia
Zanzibar	Africa	Tanzania	Zanzibar	Africa
Bangkok	Asia	Thailand	Bangkok	Asia
Chiang Mai	Asia	Thailand	Chiang Mai	Asia
Chiang Rai	Asia	Thailand	Chiang Rai	Asia
Hua Hin	Asia	Thailand	Prachuap Khiri Khan	Asia
Koh Samui	Asia	Thailand	Surat Thani	Asia
Krabi	Asia	Thailand	Krabi	Asia
Pattaya	Asia	Thailand	Chonburi	Asia
Phuket	Asia	Thailand	Phuket	Asia
Port of Spain	North America	Trinidad and Tobago	Port of Spain	Caribbean
Tunis	Africa	Tunisia	Tunis	Africa
Alanya	Asia	Turkey	Antalya	Mediterranean
Antalya	Asia	Turkey	Antalya	Mediterranean
Bodrum	Asia	Turkey	Muğla	Mediterranean
Istanbul	Asia	Turkey	Istanbul	Mediterranean
Grace Bay	North America	Turks and Caicos Islands	Providenciales	Caribbean
Bath	Europe	United Kingdom	Somerset	Europe
Brighton	Europe	United Kingdom	East Sussex	Europe
Bristol	Europe	United Kingdom	Bristol	Europe
Cambridge	Europe	United Kingdom	Cambridgeshire	Europe
Edinburgh	Europe	United Kingdom	Scotland	Europe
London	Europe	United Kingdom	Greater London	Europe
Manchester	Europe	United Kingdom	Greater Manchester	Europe
Newcastle (UK)	Europe	United Kingdom	Tyne and Wear	Europe
Oxford	Europe	United Kingdom	Oxfordshire	Europe
Dubai	Asia	United Arab Emirates	Dubai	Asia
Abu Dhabi	Asia	United Arab Emirates	Abu Dhabi	Asia
Colonia del Sacramento	South America	Uruguay	Colonia	South America
Montevideo	South America	Uruguay	Montevideo	South America
Piriápolis	South America	Uruguay	Maldonado	South America
Punta del Este	South America	Uruguay	Maldonado	South America
Charlotte Amalie	North America	US Virgin Islands	Saint Thomas	Caribbean
Cruz Bay	North America	US Virgin Islands	Saint John	Caribbean
Port Vila	Oceania	Vanuatu	Shefa	Oceania
Da Nang	Asia	Vietnam	Da Nang	Asia
Hanoi	Asia	Vietnam	Hanoi	Asia
Ho Chi Minh City	Asia	Vietnam	Ho Chi Minh City	Asia
Hoi An	Asia	Vietnam	Quang Nam	Asia
Nha Trang	Asia	Vietnam	Khanh Hoa	Asia